Number of events received in this window,Total number of events received,Throughput in this window (events/second), Entire throughput for the run (events/second), Average latency per event in this window(ms), Entire Average latency per event (ms),Elapsed time in this window(s), Total elapsed time(s)
10000,10000,6293.0,6293.0,0.1588,0.1588,1.588,1.588
10000,20000,5998.0,6134.0,0.1658,0.1623,1.658,3.246
10000,30000,5621.0,5952.0,0.177,0.1672,1.77,5.016
10000,40000,6920.0,6167.0,0.144,0.1614,1.44,6.456
10000,50000,6830.0,6289.0,0.1461,0.15834,1.461,7.917
10000,60000,6325.0,6294.0,0.1579,0.15826666666666667,1.579,9.496
10000,70000,6596.0,6335.0,0.1514,0.15728571428571428,1.514,11.01
10000,80000,6583.0,6365.0,0.1516,0.156575,1.516,12.526
10000,90000,6657.0,6396.0,0.1502,0.15586666666666665,1.502,14.028
10000,100000,6583.0,6414.0,0.1517,0.15545,1.517,15.545
